query_phrase,source_domain,url,title,description,date
"test","super.domain.com","http://super.domain.com/test","Test on super.domain.com","Description of the Test on super.domain.com","2012-11-12"
"test","super.domain.com","http://super.domain.com/test2","Test Second on super.domain.com","Description of the Test 2 on super.domain.com","2012-11-12"
"test","super.domain.com","http://super.domain.com/test3","Test Third on super.domain.com","Description of the Test 3 on super.domain.com","2012-11-12"
"not match","super.domain.com","http://super.domain.com/not_match","Not Match on super.domain.com","Description of the Not Match on super.domain.com","2012-11-12"
"another","super.domain.com","http://super.domain.com/another","Another on super.domain.com","Description of the Another on super.domain.com","2012-11-12"
"another","super.domain.com","http://super.domain.com/another2","Another 2 on super.domain.com","Description of the Another 2 on super.domain.com","2012-11-12"
"another","super.domain2.com","http://super.domain.com/another","Another on super.domain2.com","Description of the Another on super.domain2.com","2012-11-12"
"another","super.domain2.com","http://super.domain.com/another2","Another 2 on super.domain2.com","Description of the Another 2 on super.domain2.com","2012-11-12"
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/CHUK,"
<em>CHUK</em> - Wikipedia, the free encyclopedia","Inhibitor of nuclear factor kappa-B kinase subunit alpha (IKK-α) also known as IKK1 or conserved helix-loop-helix ubiquitous kinase (<em>CHUK</em>) is a protein kinase <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Chuk_(instrument),"
<em>Chuk</em> (instrument) - Wikipedia, the free encyclopedia","The <em>chuk</em> (hangul: 축; hanja: 柷) is a traditional Korean musical instrument used in Confucian (Munmyo) and Royal Ancestral Shrine (Jongmyo) ceremonies to <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Chuk_Iwuji,"
<em>Chuk</em> Iwuji - Wikipedia, the free encyclopedia","Chukwudi Iwuji (born 1975, Nigeria), usually shortened to <em>Chuk</em> Iwuji or Chuck Iwuji, is a Nigerian-born actor, active in the United Kingdom.<br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Wong_Chuk_Hang,"Wong <em>Chuk</em> Hang - Wikipedia, the free encyclopedia","Wong <em>Chuk</em> Hang is an industrial and residential town to the east of Aberdeen and to the north of Nam Long Shan and to the west of Shouson Hill, on Hong <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Chuk_Yuen,"
<em>Chuk</em> Yuen - Wikipedia, the free encyclopedia","
<em>Chuk</em> Yuen (Chinese: 竹園) or <em>Chuk</em> Un was a village and an area in New Kowloon of Hong Kong. The  area is approximately present-day Wong Tai Sin.<br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/U_Tong-chuk,"U Tong-<em>chuk</em> - Wikipedia,  the free encyclopedia","U Tong-<em>chuk</em> (born August 8, 1942) is a North Korean official. He is politburo member of Central Committee of the  Workers' Party of Korea. In addition, he was <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Cheung_Chuk_Shan_College,"Cheung <em>Chuk</em> Shan College - Wikipedia, the free encyclopedia","Cheung <em>Chuk</em> Shan College (Traditional Chinese: 張祝珊英文中學) is a Hong Kong aided co-educational secondary school founded in 1969 by a group of <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Sam_Chuk_District,"Sam <em>Chuk</em> District - Wikipedia, the free encyclopedia","Sam <em>Chuk</em> is a district (Amphoe) in the northern part of Suphanburi Province, central Thailand. Contents. 1 History; 2 Geography; 3 Administration; 4 References <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Chuk_Yuen_Estate,"
<em>Chuk</em> Yuen Estate - Wikipedia, the free encyclopedia","
<em>Chuk</em> Yuen Estate (Chinese: 竹園邨) is a public housing estate in Kowloon, Hong Kong, located north of Wong Tai Sin and underneath Lion Rock. Its site was <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Wong_Chuk_Hang_Road,"Wong <em>Chuk</em> Hang Road - Wikipedia, the free encyclopedia","Wong <em>Chuk</em> Hang Road (Chinese: 黃竹坑道) is a major thoroughfare in southern Hong Kong Special Administrative Region, China. It is part of Hong Kong Route <b>...</b><br>
",2012-11-16
chuk,ru.wikipedia.org,http://ru.wikipedia.org/wiki/Chuck,"
<em>Chuck</em> — Википедия","
<em>Chuck</em> — третий студийный альбом группы Sum 41, выпущенный 12 октября 2004 года. Также это последний альбом, в записи которого участвовал <b>...</b><br>
",2012-11-16
chuk,ru.wikipedia.org,http://ru.wikipedia.org/wiki/Chuck_Taylor_All-Stars,"
<em>Chuck</em> Taylor All-Stars — Википедия","
<em>Chuck</em> Taylor All-Star (также, «ко́нверсы», Converse All-Star) — знаменитые кеды фирмы «Converse», которую основал Маркус Миллс Конверс (англ.<br>
",2012-11-16
chuk,ru.wikipedia.org,"http://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D1%80%D0%B8,_%D0%A7%D0%B0%D0%BA","Берри, Чак — Википедия","Чак Бе́рри (англ. <em>Chuck</em> Berry; полное имя — Чарльз Э́двард А́ндерсон Бе́рри<wbr>; род. 18 октября 1926) — американский певец, гитарист,  автор песен.<br></wbr>
",2012-11-16
chuk,ru.wikipedia.org,http://ru.wikipedia.org/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Chuck_Norris_200611292256.jpg,"Файл:<em>Chuck</em> Norris 200611292256.jpg — Википедия","English: Martial arts expert and action film star, <em>Chuck</em> Norris signs a T-shirt for Corporal William P. Kessler, 23 of Cedar Park, Texas. Kessler, a reconnaissance <b>...</b><br>
",2012-11-16
chuk,ru.wikipedia.org,http://ru.wikipedia.org/wiki/Chuck_Yeager%E2%80%99s_Air_Combat,"
<em>Chuck</em> Yeager's Air Combat — Википедия","
<em>Chuck</em> Yeager's Air Combat (рус. «Воздушный бой Чака Йегера») — компьютерная игра жанра авиасимулятор. Выпущена фирмой Electronic Arts для PC <b>...</b><br>
",2012-11-16
chuk,ru.wikipedia.org,http://ru.wikipedia.org/wiki/Chuck_Berry_on_Stage,"
<em>Chuck</em> Berry on Stage — Википедия","
<em>Chuck</em> Berry on Stage — шестой альбом американского певца Чака Берри. Несмотря на название, все песни были записаны в студии. В американский <b>...</b><br>
",2012-11-16
chuk,ru.wikipedia.org,http://ru.wikipedia.org/wiki/Go_Chuck_Yourself/Happy_Live_Surprise,"Go <em>Chuck</em> Yourself/Happy Live Surprise — Википедия","Go <em>Chuck</em> Yourself (Европа и Северная Америка) или Happy Live Surprise (<wbr>Япония) — живой альбом Sum 41, записанный в Лондоне, Онтарио в апреле <b>...</b><br></wbr>
",2012-11-16
chuk,ru.wikipedia.org,http://ru.wikipedia.org/wiki/Chuck_Berry_Is_on_Top,"
<em>Chuck</em> Berry Is on Top — Википедия","
<em>Chuck</em> Berry Is on Top — третий студийный альбом американского певца Чака Берри. С одной стороны пластинку можно считать сборником, так как в <b>...</b><br>
",2012-11-16
chuk,ru.wikipedia.org,http://ru.wikipedia.org/wiki/Chuck_Berry%E2%80%99s_Golden_Hits,"
<em>Chuck</em> Berry's Golden Hits — Википедия","
<em>Chuck</em> Berry's Golden Hits — одиннадцатый альбом американского певца Чака Берри. Пластинка не является сборником, как может показаться из <b>...</b><br>
",2012-11-16
chuk,ru.wikipedia.org,"http://ru.wikipedia.org/wiki/%D0%A8%D1%83%D0%BB%D1%8C%D0%B4%D0%B8%D0%BD%D0%B5%D1%80,_%D0%A7%D0%B0%D0%BA","Шульдинер, Чак — Википедия","Charles Michael «<em>Chuck</em>» Schuldiner 13 мая 1967 — 13 декабря 2001) — культовый музыкант (США), основатель, гитарист, вокалист, ведущий <b>...</b><br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/Chuck_Testa,"
<em>Chuck</em> Testa — Lurkmore","
<span class=""f"">11 май 2012 – </span><em>Chuck</em> Testa (рус. Не-а! Чак Теста) — форсед-мем англоязычных интернетов; сам же Чак Теста — главный герой вирусного ролика, <b>...</b><br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/%D0%9E%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5:Chuck_Testa,"Обсуждение:<em>Chuck</em> Testa — Lurkmore","
<span class=""f"">5 мар 2012 – </span>http://www.youtube.com/watch?v=mbUVtfUWwF8. Встречал мем в англоинтернетах, не врубался, спасибо. Источник <b>...</b><br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/Barrens_chat,"Barrens chat — Lurkmore","
<span class=""f"">24 фев 2012 – </span><b>...</b> [Player 6] How much wood would <em>Chuck</em> Norris <em>chuck</em> if <em>Chuck</em> Norris could <em>chuck</em> wood? (Сколько дерева Чак Норрис чакнет если бы Чак <b>...</b><br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/%D0%A7%D0%B0%D0%BA_%D0%9D%D0%BE%D1%80%D1%80%D0%B8%D1%81,"Чак Норрис — Lurkmore","
<span class=""f"">16 окт 2012 – </span><em>Chuck</em>-norris-karate corvette.jpg. Уилт Чемберлен утверждает, что переспал более чем с 20.000 женщин за всю свою жизнь. А для Чака <b>...</b><br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/Lurkmore:%D0%9D%D1%83%D0%B6%D0%BD%D1%8B%D0%B5_%D1%81%D1%82%D0%B0%D1%82%D1%8C%D0%B8/A-Z/C,"Lurkmore:Нужные статьи/A-Z/C — Lurkmore","
<b>...</b> из Lurkmore. Перейти к: навигация, поиск. ← Назад.<br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/%D0%9E%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5:%D0%A7%D0%B0%D0%BA_%D0%9D%D0%BE%D1%80%D1%80%D0%B8%D1%81,"Обсуждение:Чак Норрис — Lurkmore","
<span class=""f"">21 авг 2012 – </span>У Чака Норриса не бывает ""мурашек"". Это у мурашек бывает Чак Норрис. <em>Chuck</em> Norris﻿ calling David Guetta ""Hello, David Guеtta?<br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/%D0%9E%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5:Magic:_The_Gathering,"Обсуждение:Magic: The Gathering — Lurkmore","
<span class=""f"">14 сен 2011 – </span>You may play <em>Chuck</em> Norris without paying it's mana cost. If <em>Chuck</em> Norris is in your opening hand and you're not playing first, you may begin the <b>...</b><br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/%D0%A7%D0%B0%D0%BA_%D0%9F%D0%B0%D0%BB%D0%B0%D0%BD%D0%B8%D0%BA,"Чак Паланик — Lurkmore","
<span class=""f"">13 сен 2012 – </span><em>Chuck</em> Palahniuk, укр. Палагнюк) — американский пейсатель-сатирик с хохляцкими корнями, гей и толстый тролль, весьма популярный у <b>...</b><br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/%D0%9A%D0%BE%D1%81%D0%B8%D0%BB_%D0%BA%D0%BE%D1%81%D0%BE%D0%B9_%D0%BA%D0%BE%D1%81%D0%BE%D0%B9_%D0%BA%D0%BE%D1%81%D0%BE%D0%B9,"Косил косой косой косой  - Луркоморье","
<span class=""f"">3 дн. назад – </span>How much wood would a woodchuck <em>chuck</em>, if a woodchuck would (could) <em>chuck</em> a wood? — сколько чурок заготовил бы сурок, если б <b>...</b><br>
",2012-11-16
chuk,lurkmore.to,http://lurkmore.to/%D0%9E%D0%B1%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5:Candlejack,"Обсуждение:Candlejack — Lurkmore","
<span class=""f"">17 май 2012 – </span>Don't mess with <em>Chuck</em>! Да достали вы обрывать предложения на полусло ВЕ! Я придумал! Чтобы не изчезнуть, надо попросить <b>...</b><br>
",2012-11-16
